Category,Part Name,Quantity,Price,Vendor Link
Slide Potentiometers,Bourns PTA6043-2015CPB103,5,£7.10,https://www.digikey.co.uk/en/products/detail/bourns-inc/PTA6043-2015CPB103/3781230
Ceramic Capacitors,Vishay K104K10X7RF5UH5 (0.1uF),10,£1.13,https://www.digikey.co.uk/en/products/detail/vishay-beyschlag-draloric-bc-components/K104K10X7RF5UH5/2356754
Electrolytic Capacitors,Panasonic ECA-1EM101B (100uF),2,£0.46,https://www.digikey.co.uk/en/products/detail/panasonic-electronic-components/ECA-1EM101B/268461
Rotary Encoders,Bourns PEC11R-4215F-S0024,2,£3.30,https://www.digikey.co.uk/en/products/detail/bourns-inc/PEC11R-4215F-S0024/4499665
Pin Headers,Sullins PRPC040SAAN-RC (40 Pin),3,£1.23,https://www.digikey.co.uk/en/products/detail/sullins-connector-solutions/PRPC040SAAN-RC/2775214
Resistors,Stackpole RNF14FTD10K0 (10K),10,£0.30,https://www.digikey.co.uk/en/products/detail/stackpole-electronics-inc/RNF14FTD10K0/1706596
Resistors,YAGEO CFR-50JT-52-4K7 (4.7K),10,£0.34,https://www.digikey.co.uk/en/products/detail/yageo/CFR-50JT-52-4K7/9099664
Premium Knobs,Kilo International OEJL-90-4-5 (Solid Alum),2,£18.68,https://www.digikey.co.uk/en/products/detail/kilo-international/OEJL-90-4-5/710678
Standard Knobs,Davies Molding 1300-B (Nylon),5,£3.86,https://www.digikey.co.uk/en/products/detail/davies-molding-llc/1300-B/7908413
I2C Expander,Microchip MCP23017-E/SP,2,£2.54,https://www.digikey.co.uk/en/products/detail/microchip-technology/MCP23017-E-SP/894272
Microcontroller,ESP32-S3-WROOM-1 N16R8,1,£5.28,https://www.aliexpress.com/item/1005008796158734.html
Screen,2.2" TFT Full Color Screen LCD,1,£8.54,https://www.aliexpress.com/item/1005008143782445.html
Switches,Cherry Mx Switches (Pre Owned),18,£0.00,
PCB Manufacturing,JLCPCB GerberFiles,5,$13.10,https://jlcpcb.com/
3D Printing,Bambu Labs Filament,1,£10.25,
Total,£85.24,,,
