"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C3,C10,C4,C5,C8,C7,C11,C9,C2,C6,C12";"C_Disc_D5.0mm_W2.5mm_P2.50mm";11;"0.1µF";;;
2;"RV2,RV4,RV5,RV3,RV1";"Potentiometer_Bourns_PTA6043_Single_Slide";5;"R_Potentiometer_Dual";;;
3;"C1";"CP_Radial_D6.3mm_P2.50mm";1;"100µF";;;
4;"J4";"SSD1306-0.91-OLED-4pin-128x32";1;"OLED4";;;
5;"J2";"SSD1306-0.91-OLED-4pin-128x32";1;"OLED2";;;
6;"J1";"SSD1306-0.91-OLED-4pin-128x32";1;"OLED1";;;
7;"J3";"SSD1306-0.91-OLED-4pin-128x32";1;"OLED3";;;
8;"J5";"SSD1306-0.91-OLED-4pin-128x32";1;"OLED5";;;
9;"SW1,SW2";"RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm";2;"RotaryEncoder_Switch";;;
10;"R2,R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"10kΩ";;;
11;"U1";"ESP32-DevKitC";1;"ESP32-DevKitC";;;
12;"J6";"MODULE_2717";1;"TCA9548A";;;
